beta2test,gamma2test,mu2test
0.011003971,0.003728747,0.003625992
0.010801584,0.003594548,0.003590167
0.010619849,0.003487796,0.003556174
0.010459781,0.003408313,0.003524196
0.010322005,0.003354728,0.003494418
0.010206699,0.003324777,0.003466955
0.010113478,0.00331524,0.0034419
0.010041684,0.003322661,0.003419352
0.009990096,0.003342897,0.00339933
0.009957641,0.003371656,0.00338186
0.009942651,0.003404588,0.003366941
0.009943306,0.003437609,0.003354544
0.00995785,0.003467351,0.003344599
0.009984136,0.003491283,0.00333705
0.010020137,0.003508449,0.003331804
0.01006341,0.00351882,0.003328753
0.010112047,0.003523648,0.003327769
0.010164052,0.00352481,0.003328723
0.010217339,0.003524512,0.003331459
0.010270387,0.003524989,0.003335813
0.010321766,0.003528178,0.003341627
0.010370284,0.00353533,0.003348717
0.010415435,0.003546804,0.003356913
0.01045683,0.00356251,0.003366038
0.010494351,0.003581792,0.003375891
0.010528415,0.00360328,0.003386322
0.010559619,0.003625482,0.003397161
0.010588706,0.00364697,0.003408244
0.01061669,0.003666461,0.003419423
0.010644406,0.00368315,0.003430572
0.010672838,0.00369665,0.003441584
0.010702699,0.003707498,0.003452385
0.010734916,0.00371623,0.003462878
0.010769725,0.003724128,0.003473035
0.010807484,0.003732503,0.003482807
0.010848075,0.003742307,0.003492218
0.010891259,0.003754586,0.003501281
0.010936618,0.003769755,0.003510013
0.010983288,0.003787607,0.003518492
0.011030376,0.003807724,0.003526792
0.011076808,0.003829062,0.003534964
0.011121571,0.003850073,0.003543136
0.011163414,0.003869414,0.003551385
0.011201352,0.003885627,0.003559822
0.011234373,0.003897786,0.003568527
0.01126194,0.003905118,0.003577617
0.011283577,0.003907532,0.003587168
0.011299104,0.003905684,0.003597254
0.011308789,0.003900558,0.003607932
0.011313021,0.003893465,0.003619266
0.011312813,0.003885835,0.003631279
0.011308938,0.003879041,0.003643984
0.011302799,0.003874183,0.00365735
0.011295646,0.003872156,0.003671372
0.011288792,0.00387314,0.003685981
0.011283785,0.003877014,0.0037011
0.011281788,0.003883302,0.003716633
0.011283845,0.00389117,0.003732458
0.011290848,0.003899813,0.003748456
0.011303693,0.003907979,0.00376446
0.011322469,0.003914952,0.0037803
0.011347294,0.003920287,0.003795812
0.011377931,0.003923565,0.003810835
0.011413872,0.003924906,0.003825143
0.011454284,0.003924936,0.003838605
0.011498004,0.003924131,0.003851026
0.01154387,0.003923386,0.003862247
0.011590451,0.003923357,0.00387215
0.011636227,0.003924668,0.003880608
0.011679709,0.003927648,0.003887543
0.011719495,0.003932387,0.003892887
0.011754334,0.003938735,0.003896606
0.011783332,0.003946126,0.003898716
0.011805624,0.003954172,0.00389925
0.011821002,0.003962338,0.003898287
0.011829525,0.003969908,0.00389593
0.011831462,0.003976792,0.00389232
0.011827737,0.003982782,0.003887612
0.011819243,0.003988415,0.003881991
0.011807442,0.003994137,0.003875658
0.011793673,0.004000932,0.003868824
0.011779636,0.004009694,0.003861725
0.011766821,0.004021585,0.003854579
0.011756748,0.004037291,0.003847605
0.011750817,0.004057437,0.00384104
0.011750191,0.004082501,0.003835079
0.011755794,0.004112035,0.003829923
0.011768222,0.004145593,0.003825739
0.011787862,0.004182011,0.003822708
0.011814535,0.00421986,0.003820938
0.011848211,0.004257202,0.003820542
0.011888087,0.004292518,0.003821611
0.011933297,0.00432381,0.003824189
0.011982679,0.00434953,0.003828296
0.012034893,0.004368901,0.003833926
0.012088537,0.004381269,0.003841037
0.012142032,0.004386932,0.003849557
0.012193769,0.004386485,0.00385941
0.012242436,0.004381299,0.003870437
0.012286693,0.004372656,0.003882486
0.012325525,0.004362464,0.003895393
0.012358129,0.004352063,0.00390895
0.012384117,0.004343033,0.003922916
0.012403399,0.004336298,0.003937063
0.012416184,0.004332662,0.003951141
0.012423068,0.004332334,0.003964889
0.012424827,0.004335225,0.00397805
0.012422502,0.004340798,0.003990361
0.012417167,0.004348487,0.004001594
0.012410104,0.0043571,0.004011509
0.012402415,0.004365742,0.004019916
0.012395114,0.004373312,0.004026628
0.012389094,0.004379004,0.004031518
0.01238513,0.004382223,0.004034475
0.01238358,0.004382372,0.00403544
0.012384564,0.0043796,0.004034382
0.012388051,0.004374147,0.004031351
0.012393415,0.004366547,0.004026389
0.01240021,0.004357636,0.004019618
0.012407362,0.004348546,0.004011178
0.012414008,0.004340053,0.004001245
0.012418866,0.004333258,0.003990013
0.012420833,0.004328966,0.003977731
0.012418777,0.004327804,0.003964639
0.012411684,0.00432992,0.003950972
0.01239872,0.004335314,0.003937009
0.012379408,0.004343599,0.003922999
0.01235348,0.004353881,0.003909207
0.012321055,0.004365146,0.003895855
0.01228255,0.004375666,0.003883174
0.012238681,0.00438413,0.003871355
0.0121907,0.004388899,0.003860593
0.012139529,0.00438869,0.003851026
0.012086868,0.004382193,0.00384278
0.012034178,0.004368991,0.003835964
0.011982858,0.004349053,0.003830656
0.011934489,0.004322738,0.003826845
0.011890382,0.004291266,0.00382458
0.011851579,0.00425607,0.003823805
0.011819065,0.004218668,0.003824499
0.011793464,0.004181176,0.003826532
0.011774898,0.004145116,0.003829834
0.011763603,0.004111707,0.003834254
0.011758983,0.004082233,0.003839627
0.011760473,0.004057318,0.003845784
0.011767268,0.004037172,0.003852511
0.011777997,0.004021585,0.003859615
0.011791378,0.004009783,0.003866872
0.011805922,0.00400123,0.003874034
0.011819959,0.003994882,0.003880903
0.011832029,0.003989846,0.003887242
0.011840671,0.003985077,0.003892821
0.011844367,0.00398007,0.003897461
0.011842221,0.003974468,0.003900966
0.011833489,0.003968,0.003903201
0.011817813,0.003960997,0.003903997
0.011795163,0.003953695,0.003903282
0.011765748,0.003946692,0.003900966
0.011730522,0.003940463,0.003897032
0.011690289,0.003935307,0.003891462
0.01164639,0.003931463,0.003884301
0.011600196,0.00392893,0.003875595
0.011553258,0.003927469,0.003865451
0.011507064,0.003926605,0.003853977
0.011462957,0.00392583,0.003841317
0.011422306,0.00392437,0.003827632
0.011386186,0.003922045,0.003813094
0.011355311,0.003918171,0.00379788
0.011330247,0.003912926,0.003782162
0.011311352,0.003906488,0.003766146
0.011298358,0.003899366,0.003749973
0.011291027,0.003892183,0.003733808
0.011288643,0.003885925,0.003717843
0.011290312,0.003881365,0.003702179
0.011294931,0.003878951,0.003686932
0.011301219,0.003879249,0.003672207
0.011307895,0.00388214,0.003658074
0.011313468,0.003887206,0.003644601
0.011316657,0.003893763,0.003631792
0.01131624,0.003900558,0.003619671
0.011311054,0.003906369,0.003608233
0.011300623,0.003909916,0.00359743
0.011284292,0.003909916,0.003587225
0.011261731,0.003905624,0.003577545
0.0112333,0.003896594,0.003568325
0.011199415,0.003883034,0.003559464
0.011160702,0.003865749,0.003550884
0.011118025,0.003845751,0.003542483
0.011072606,0.003824502,0.003534129
0.011025459,0.003803283,0.003525776
0.010977715,0.003783613,0.003517312
0.010930449,0.003766209,0.003508634
0.010884583,0.003751785,0.003499705
0.010840893,0.003740013,0.003490457
0.010799885,0.003730685,0.003480867
0.010761678,0.003722668,0.003470907
0.010726452,0.00371483,0.003460574
0.010693938,0.003706127,0.003449926
0.010663658,0.00369519,0.003438985
0.010634899,0.003681362,0.003427842
0.010606885,0.003664345,0.003416583
0.010578662,0.003644556,0.003405309
0.010549247,0.003622741,0.003394166
0.010517776,0.00360027,0.003383294
0.010483563,0.003578544,0.003372848
0.010445893,0.003559262,0.003362993
0.010404378,0.003543437,0.003353924
0.010359377,0.003531933,0.003345788
0.010310859,0.003524989,0.003338781
0.010259837,0.003521919,0.003333086
0.010207176,0.003521472,0.003328875
0.010154367,0.0035218,0.003326291
0.010103017,0.003520757,0.003325516
0.010055155,0.003515989,0.003326702
0.010012567,0.003505737,0.003329974
0.009977639,0.00348872,0.003335443
0.009952426,0.003464997,0.003343236
0.009939075,0.003435552,0.003353432
0.009939671,0.003402919,0.003366086
0.009955972,0.003370464,0.00338127
0.009989828,0.003342211,0.003398997
0.010042787,0.003322393,0.00341928
0.0101161,0.003315568,0.003442082
0.010210782,0.003325582,0.003467372
0.010327548,0.003356218,0.003495064
0.010466695,0.00341031,0.003525073
0.010628164,0.003490269,0.003557235
0.010811269,0.003597587,0.003591403
0.011014879,0.003732234,0.003627381
