train_data2s,s_nn2train,train_data2i,i_nn2train,train_data2r,r_nn2train,train_data2d,d_nn2train
3457490,1.0,973,1.0,310,1.0,17,1.0
3457371,1.0,1056,1.0,345,1.0,18,1.0
3457274,1.0,1119,1.0,375,1.0,22,1.0
3457192,1.0,1158,1.0,416,1.0,24,1.0
3457122,1.0,1217,1.0,422,1.0,29,1.0
3456990,1.0,1330,1.0,440,1.0,30,1.0
3456809,1.0,1432,1.0,515,1.0,34,1.0
3456624,1.0,1534,1.0,593,1.0,39,1.0
3456478,1.0,1637,1.0,625,1.0,50,1.0
3456326,1.0,1732,1.0,675,1.0,57,1.0
3456191,1.0,1806,1.0,729,1.0,64,1.0
3456084,1.0,1864,1.0,772,1.0,70,1.0
3455936,1.0,2012,1.0,772,1.0,70,1.0
3455716,1.0,2165,1.0,830,1.0,79,1.0
3455529,1.0,2321,1.0,853,1.0,87,1.0
3455284,1.0,2486,1.0,926,1.0,94,1.0
3455056,1.0,2668,1.0,955,1.0,111,1.0
3454884,1.0,2788,1.0,997,1.0,121,1.0
3454716,1.0,2914,1.0,1026,1.0,134,1.0
3454398,1.0,3190,1.0,1059,1.0,143,1.0
3454084,1.0,3452,1.0,1094,1.0,160,1.0
3453715,1.0,3758,1.0,1138,1.0,179,1.0
3452984,1.0,4270,1.0,1336,1.0,200,1.0
3452408,1.0,4788,1.0,1373,1.0,221,1.0
3452009,1.0,5127,1.0,1410,1.0,244,1.0
3451504,1.0,5512,1.0,1502,1.0,272,1.0
3450761,1.0,6187,1.0,1556,1.0,286,1.0
3450090,1.0,6788,1.0,1611,1.0,301,1.0
3449279,1.0,7468,1.0,1724,1.0,319,1.0
3448502,1.0,8116,1.0,1829,1.0,343,1.0
3447772,1.0,8736,1.0,1911,1.0,371,1.0
3447322,1.0,9071,1.0,2002,1.0,395,1.0
3446364,1.0,9411,1.0,2596,1.0,419,1.0
3444343,1.0,10235,1.0,3784,1.0,428,1.0
3443300,1.0,10876,1.0,4159,1.0,455,1.0
3442275,1.0,11510,1.0,4520,1.0,485,1.0
3441154,1.0,12328,1.0,4800,1.0,508,1.0
3440053,1.0,13040,1.0,5163,1.0,534,1.0
3439147,1.0,13321,1.0,5764,1.0,558,1.0
3438356,1.0,13552,1.0,6304,1.0,578,1.0
3436875,1.0,14379,1.0,6945,1.0,591,1.0
3435524,1.0,15043,1.0,7609,1.0,614,1.0
3434231,1.0,15772,1.0,8149,1.0,638,1.0
3433089,1.0,16565,1.0,8473,1.0,663,1.0
3431915,1.0,17363,1.0,8820,1.0,692,1.0
3430805,1.0,17705,1.0,9571,1.0,709,1.0
3429868,1.0,18016,1.0,10175,1.0,731,1.0
3428299,1.0,18987,1.0,10764,1.0,740,1.0
3426651,1.0,19842,1.0,11540,1.0,757,1.0
3425168,1.0,20609,1.0,12227,1.0,786,1.0
3423902,1.0,21582,1.0,12488,1.0,818,1.0
3422869,1.0,22374,1.0,12696,1.0,851,1.0
3421679,1.0,22765,1.0,13485,1.0,861,1.0
3420676,1.0,23121,1.0,14115,1.0,878,1.0
3419560,1.0,23524,1.0,14816,1.0,890,1.0
3418051,1.0,24308,1.0,15523,1.0,908,1.0
3416546,1.0,24988,1.0,16314,1.0,942,1.0
3415599,1.0,25559,1.0,16655,1.0,977,1.0
3414841,1.0,26013,1.0,16930,1.0,1006,1.0
3413709,1.0,26181,1.0,17864,1.0,1036,1.0
3412723,1.0,26322,1.0,18695,1.0,1050,1.0
3411392,1.0,26897,1.0,19441,1.0,1060,1.0
3409951,1.0,27376,1.0,20381,1.0,1082,1.0
3408635,1.0,27889,1.0,21169,1.0,1097,1.0
3407884,1.0,28290,1.0,21490,1.0,1126,1.0
3407079,1.0,28688,1.0,21864,1.0,1159,1.0
3406503,1.0,28853,1.0,22253,1.0,1181,1.0
3405613,1.0,28988,1.0,22992,1.0,1197,1.0
3404489,1.0,29436,1.0,23657,1.0,1208,1.0
3403475,1.0,29866,1.0,24221,1.0,1228,1.0
3402649,1.0,30199,1.0,24675,1.0,1267,1.0
3402222,1.0,30418,1.0,24870,1.0,1280,1.0
3401994,1.0,30463,1.0,25028,1.0,1305,1.0
3401391,1.0,30465,1.0,25620,1.0,1314,1.0
3400900,1.0,30471,1.0,26090,1.0,1329,1.0
3400153,1.0,30693,1.0,26609,1.0,1335,1.0
3399558,1.0,30882,1.0,27006,1.0,1344,1.0
3398733,1.0,31296,1.0,27404,1.0,1357,1.0
3398173,1.0,31675,1.0,27566,1.0,1376,1.0
3397657,1.0,32031,1.0,27709,1.0,1393,1.0
3396714,1.0,32467,1.0,28205,1.0,1404,1.0
3395795,1.0,32920,1.0,28663,1.0,1412,1.0
3395082,1.0,33227,1.0,29065,1.0,1416,1.0
3394497,1.0,33469,1.0,29399,1.0,1425,1.0
3393888,1.0,33763,1.0,29707,1.0,1432,1.0
3393372,1.0,34123,1.0,29854,1.0,1441,1.0
3392720,1.0,34616,1.0,30008,1.0,1446,1.0
3391904,1.0,35033,1.0,30401,1.0,1452,1.0
3390972,1.0,35549,1.0,30809,1.0,1460,1.0
3390234,1.0,35861,1.0,31225,1.0,1470,1.0
3389410,1.0,36303,1.0,31601,1.0,1476,1.0
3388645,1.0,36716,1.0,31947,1.0,1482,1.0
3387922,1.0,37210,1.0,32163,1.0,1495,1.0
3387316,1.0,37624,1.0,32347,1.0,1503,1.0
3387316,1.0,37624,1.0,32347,1.0,1503,1.0
3385738,1.0,38136,1.0,33408,1.0,1508,1.0
3384803,1.0,38569,1.0,33907,1.0,1511,1.0
3383766,1.0,39133,1.0,34377,1.0,1514,1.0
3382776,1.0,39589,1.0,34902,1.0,1523,1.0
3381906,1.0,40163,1.0,35193,1.0,1528,1.0
3381048,1.0,40767,1.0,35442,1.0,1533,1.0
3379670,1.0,41571,1.0,36012,1.0,1537,1.0
3378387,1.0,42281,1.0,36582,1.0,1540,1.0
3377277,1.0,42772,1.0,37199,1.0,1542,1.0
3376323,1.0,43170,1.0,37749,1.0,1548,1.0
3375311,1.0,43742,1.0,38179,1.0,1558,1.0
3374587,1.0,44347,1.0,38290,1.0,1566,1.0
3373636,1.0,45013,1.0,38568,1.0,1573,1.0
3372432,1.0,45470,1.0,39310,1.0,1578,1.0
3371004,1.0,46204,1.0,40001,1.0,1581,1.0
3369356,1.0,47107,1.0,40742,1.0,1585,1.0
3368234,1.0,47457,1.0,41511,1.0,1588,1.0
3367003,1.0,47961,1.0,42234,1.0,1592,1.0
3365944,1.0,48721,1.0,42524,1.0,1601,1.0
3364814,1.0,49488,1.0,42882,1.0,1606,1.0
3363263,1.0,50291,1.0,43625,1.0,1611,1.0
3361592,1.0,51153,1.0,44431,1.0,1614,1.0
3360173,1.0,51803,1.0,45198,1.0,1616,1.0
3358902,1.0,52281,1.0,45987,1.0,1620,1.0
3357578,1.0,52947,1.0,46636,1.0,1629,1.0
3356499,1.0,53692,1.0,46965,1.0,1634,1.0
3355398,1.0,54463,1.0,47289,1.0,1640,1.0
3353837,1.0,55188,1.0,48119,1.0,1646,1.0
3352342,1.0,55947,1.0,48847,1.0,1654,1.0
3351009,1.0,56560,1.0,49565,1.0,1656,1.0
3349542,1.0,57162,1.0,50426,1.0,1660,1.0
3348118,1.0,57779,1.0,51223,1.0,1670,1.0
3346869,1.0,58640,1.0,51604,1.0,1677,1.0
3345984,1.0,59185,1.0,51940,1.0,1681,1.0
3344232,1.0,60101,1.0,52768,1.0,1689,1.0
3342626,1.0,60898,1.0,53568,1.0,1698,1.0
3341209,1.0,61516,1.0,54364,1.0,1701,1.0
3340093,1.0,61839,1.0,55151,1.0,1707,1.0
3338908,1.0,62303,1.0,55855,1.0,1724,1.0
3337720,1.0,62993,1.0,56346,1.0,1731,1.0
3336669,1.0,63723,1.0,56659,1.0,1739,1.0
3335175,1.0,64413,1.0,57457,1.0,1745,1.0
3333690,1.0,65152,1.0,58196,1.0,1752,1.0
3332457,1.0,65716,1.0,58859,1.0,1758,1.0
3331394,1.0,66061,1.0,59568,1.0,1767,1.0
3330146,1.0,66618,1.0,60242,1.0,1784,1.0
3329086,1.0,67308,1.0,60605,1.0,1791,1.0
3327938,1.0,68133,1.0,60920,1.0,1799,1.0
3326418,1.0,68867,1.0,61698,1.0,1807,1.0
3325020,1.0,69584,1.0,62373,1.0,1813,1.0
3323616,1.0,70298,1.0,63059,1.0,1817,1.0
3322533,1.0,70707,1.0,63725,1.0,1825,1.0
3321338,1.0,71236,1.0,64374,1.0,1842,1.0
3319669,1.0,72390,1.0,64876,1.0,1855,1.0
3318487,1.0,73240,1.0,65204,1.0,1859,1.0
3316563,1.0,74257,1.0,66107,1.0,1863,1.0
3314820,1.0,75189,1.0,66916,1.0,1865,1.0
3313404,1.0,75864,1.0,67656,1.0,1866,1.0
3312075,1.0,76355,1.0,68488,1.0,1872,1.0
3310302,1.0,77085,1.0,69521,1.0,1882,1.0
3308603,1.0,78123,1.0,70175,1.0,1889,1.0
3307388,1.0,78966,1.0,70537,1.0,1899,1.0
3305500,1.0,79880,1.0,71507,1.0,1903,1.0
3303831,1.0,80587,1.0,72463,1.0,1909,1.0
3302250,1.0,81225,1.0,73403,1.0,1912,1.0
3301033,1.0,81608,1.0,74235,1.0,1914,1.0
3299946,1.0,81868,1.0,75055,1.0,1921,1.0
3299180,1.0,82249,1.0,75425,1.0,1936,1.0
3298368,1.0,82716,1.0,75757,1.0,1949,1.0
3296594,1.0,83588,1.0,76650,1.0,1958,1.0
3295047,1.0,84311,1.0,77461,1.0,1971,1.0
3293629,1.0,84949,1.0,78238,1.0,1974,1.0
3292507,1.0,85351,1.0,78953,1.0,1979,1.0
3291409,1.0,85813,1.0,79583,1.0,1985,1.0
3290196,1.0,86722,1.0,79878,1.0,1994,1.0
3288760,1.0,87807,1.0,80221,1.0,2002,1.0
3287647,1.0,88721,1.0,80407,1.0,2015,1.0
3285420,1.0,90017,1.0,81336,1.0,2017,1.0
3283653,1.0,90942,1.0,82174,1.0,2021,1.0
3282504,1.0,91422,1.0,82833,1.0,2031,1.0
3281146,1.0,92100,1.0,83507,1.0,2037,1.0
3279876,1.0,93012,1.0,83862,1.0,2040,1.0
3278299,1.0,94189,1.0,84256,1.0,2046,1.0
3275816,1.0,95659,1.0,85259,1.0,2056,1.0
3273744,1.0,96734,1.0,86252,1.0,2060,1.0
3271755,1.0,97638,1.0,87330,1.0,2067,1.0
3269891,1.0,98447,1.0,88380,1.0,2072,1.0
3268175,1.0,99134,1.0,89392,1.0,2089,1.0
3266508,1.0,100200,1.0,89980,1.0,2102,1.0
3264820,1.0,101366,1.0,90492,1.0,2112,1.0
3262033,1.0,102787,1.0,91844,1.0,2126,1.0
3259683,1.0,103826,1.0,93148,1.0,2133,1.0
3257439,1.0,104799,1.0,94416,1.0,2136,1.0
3255296,1.0,105740,1.0,95614,1.0,2140,1.0
3253369,1.0,106651,1.0,96616,1.0,2154,1.0
3251454,1.0,107922,1.0,97254,1.0,2160,1.0
3249589,1.0,109312,1.0,97715,1.0,2174,1.0
3246724,1.0,110828,1.0,99054,1.0,2184,1.0
3244157,1.0,112268,1.0,100171,1.0,2194,1.0
3241778,1.0,113439,1.0,101376,1.0,2197,1.0
3239388,1.0,114574,1.0,102624,1.0,2204,1.0
3236837,1.0,115943,1.0,103830,1.0,2180,1.0
3234938,1.0,117106,1.0,104547,1.0,2199,1.0
3232062,1.0,119396,1.0,105120,1.0,2212,1.0
3228709,1.0,121090,1.0,106774,1.0,2217,1.0
3225428,1.0,122812,1.0,108316,1.0,2234,1.0
3222149,1.0,124439,1.0,109963,1.0,2239,1.0
3219379,1.0,125531,1.0,111634,1.0,2246,1.0
3216760,1.0,126591,1.0,113158,1.0,2281,1.0
3214361,1.0,128152,1.0,113976,1.0,2301,1.0
3211934,1.0,129863,1.0,114679,1.0,2314,1.0
3207647,1.0,132122,1.0,116693,1.0,2328,1.0
3204154,1.0,133802,1.0,118485,1.0,2349,1.0
3200644,1.0,135372,1.0,120421,1.0,2353,1.0
3196786,1.0,137536,1.0,122100,1.0,2368,1.0
3193430,1.0,139444,1.0,123529,1.0,2387,1.0
3189681,1.0,142311,1.0,124379,1.0,2419,1.0
3185836,1.0,145465,1.0,125052,1.0,2437,1.0
3180499,1.0,148472,1.0,127362,1.0,2457,1.0
3175980,1.0,150672,1.0,129663,1.0,2475,1.0
3170561,1.0,153620,1.0,132125,1.0,2484,1.0
3164968,1.0,157096,1.0,134227,1.0,2499,1.0
3158880,1.0,160923,1.0,136457,1.0,2530,1.0
3153546,1.0,164865,1.0,137824,1.0,2555,1.0
3146702,1.0,170307,1.0,139190,1.0,2591,1.0
3138411,1.0,174954,1.0,142800,1.0,2625,1.0
3128961,1.0,180862,1.0,146311,1.0,2656,1.0
3121561,1.0,184788,1.0,149766,1.0,2675,1.0
3113064,1.0,189681,1.0,153347,1.0,2698,1.0
3104302,1.0,194570,1.0,157164,1.0,2754,1.0
3094735,1.0,201795,1.0,159467,1.0,2793,1.0
3086856,1.0,207339,1.0,161756,1.0,2839,1.0
3072654,1.0,216028,1.0,167234,1.0,2874,1.0
3059431,1.0,223581,1.0,172873,1.0,2905,1.0
